◇ injected env (20) from .env.local // tip: ◈ secrets for agents [www.dotenvx.com]
◇ injected env (4) from .env // tip: ⌘ multiple files { path: ['.env.local', '.env'] }
(node:14735) Warning: SECURITY WARNING: The SSL modes 'prefer', 'require', and 'verify-ca' are treated as aliases for 'verify-full'.
In the next major version (pg-connection-string v3.0.0 and pg v9.0.0), these modes will adopt standard libpq semantics, which have weaker security guarantees.

To prepare for this change:
- If you want the current behavior, explicitly use 'sslmode=verify-full'
- If you want libpq compatibility now, use 'uselibpqcompat=true&sslmode=require'

See https://www.postgresql.org/docs/current/libpq-ssl.html for libpq SSL mode definitions.
(Use `node --trace-warnings ...` to show where the warning was created)
Read 1015 invoice rows from spreadsheet
Seeded pay periods for 59 spreadsheet cutoffs
#1 (1) BH63363 SKIP — already imported
#2 (2) AR26887 SKIP — already imported
#3 (3) BH63363 SKIP — already imported
#4 (4) BL65171 SKIP — already imported
#5 (5) ZB63633 SKIP — already imported
#10 (10) BL65171 SKIP — already imported
#8 (8) BH63363 SKIP — already imported
#6 (6) AR26887 SKIP — already imported
#9 (9) BK97115 SKIP — already imported
#7 (7) BL02608 SKIP — already imported
#11 (11) AR26887 SKIP — already imported
#12 (12) BK97115 SKIP — already imported
#13 (13) BH63363 SKIP — already imported
#15 (15) BL02608 SKIP — already imported
#14 (14) BL65171 SKIP — already imported
#16 (16) AR26887 SKIP — already imported
#17 (17) BK97115 SKIP — already imported
#18 (18) ZB63633 SKIP — already imported
#19 (19) BH63363 SKIP — already imported
#20 (20) BL65171 SKIP — already imported
#21 (21) AR26887 SKIP — already imported
#22 (22) BK97115 SKIP — already imported
#23 (23) BH63363 SKIP — already imported
#24 (24) BL84433 SKIP — already imported
#25 (25) BL02608 SKIP — already imported
#27 (27) BL65171 SKIP — already imported
#26 (26) ZB63633 SKIP — already imported
#28 (28) BL84433 SKIP — already imported
#29 (29) AR26887 SKIP — already imported
#30 (30) BK97115 SKIP — already imported
#31 (31) BH63363 SKIP — already imported
#32 (32) BL65171 SKIP — already imported
#33 (33) BL84433 SKIP — already imported
#34 (34) BK76913 SKIP — already imported
#35 (35) AR26887 SKIP — already imported
